File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
dfixu.o,0.026104%,90,0,90,0,0,0
__dczerorl2.o,0.026104%,90,0,90,0,0,0
stm32f4xx_hal_pcd_ex.o,0.026104%,90,0,90,0,0,0
stm32f4xx_hal_sram.o,0.025524%,88,0,88,0,0,0
rtc_read_app.o,0.025524%,88,12,76,0,12,0
lv_btn.o,0.024944%,86,0,58,28,0,0
lvgl_app.o,0.024364%,84,16,68,0,16,0
lv_utils.o,0.024364%,84,0,84,0,0,0
lv_msgbox.o,0.024364%,84,0,0,84,0,0
lv_list.o,0.024364%,84,0,0,84,0,0
_printf_str.o,0.023784%,82,0,82,0,0,0
rt_memclr_w.o,0.022624%,78,0,78,0,0,0
_printf_pad.o,0.022624%,78,0,78,0,0,0
sys_stackheap_outer.o,0.021464%,74,0,74,0,0,0
strcpy.o,0.020883%,72,0,72,0,0,0
lc_numeric_c.o,0.020883%,72,0,44,28,0,0
rt_memclr.o,0.019723%,68,0,68,0,0,0
_wcrtomb.o,0.018563%,64,0,64,0,0,0
strlen.o,0.017983%,62,0,62,0,0,0
__scatter.o,0.015083%,52,0,52,0,0,0
m_wm.l,0.013922%,48,0,48,0,0,0
fpclassify.o,0.013922%,48,0,48,0,0,0
_printf_char_common.o,0.013922%,48,0,48,0,0,0
system_stm32f4xx.o,0.013922%,48,4,20,24,4,0
_printf_wchar.o,0.012762%,44,0,44,0,0,0
_printf_char.o,0.012762%,44,0,44,0,0,0
_printf_charcount.o,0.011602%,40,0,40,0,0,0
dflt_clz.o,0.011022%,38,0,38,0,0,0
vsprintf.o,0.010442%,36,0,36,0,0,0
_printf_truncate.o,0.010442%,36,0,36,0,0,0
_printf_char_file.o,0.010442%,36,0,36,0,0,0
libinit2.o,0.009862%,34,0,34,0,0,0
lv_hal_tick.o,0.009862%,34,0,34,0,0,0
__scatter_zi.o,0.008121%,28,0,28,0,0,0
stm32f4xx_hal_pwr.o,0.008121%,28,0,28,0,0,0
__2printf.o,0.006961%,24,0,24,0,0,0
stm32f4xx_it.o,0.005801%,20,0,20,0,0,0
lv_gc.o,0.005801%,20,528,0,0,20,508
exit.o,0.005221%,18,0,18,0,0,0
btim.o,0.005221%,18,72,18,0,0,72
rt_ctype_table.o,0.004641%,16,0,16,0,0,0
aeabi_memset.o,0.004641%,16,0,16,0,0,0
__printf_wp.o,0.004061%,14,0,14,0,0,0
dretinf.o,0.003481%,12,0,12,0,0,0
__rtentry2.o,0.003481%,12,0,12,0,0,0
lv_extra.o,0.003481%,12,0,12,0,0,0
fpinit.o,0.002900%,10,0,10,0,0,0
rtexit2.o,0.002900%,10,0,10,0,0,0
_sputc.o,0.002900%,10,0,10,0,0,0
_printf_ll.o,0.002900%,10,0,10,0,0,0
_printf_l.o,0.002900%,10,0,10,0,0,0
rt_locale_intlibspace.o,0.002320%,8,0,8,0,0,0
libspace.o,0.002320%,8,96,8,0,0,96
ferror.o,0.002320%,8,0,8,0,0,0
__main.o,0.002320%,8,0,8,0,0,0
heapauxi.o,0.001740%,6,0,6,0,0,0
_printf_x.o,0.001740%,6,0,6,0,0,0
_printf_u.o,0.001740%,6,0,6,0,0,0
_printf_s.o,0.001740%,6,0,6,0,0,0
_printf_p.o,0.001740%,6,0,6,0,0,0
_printf_o.o,0.001740%,6,0,6,0,0,0
_printf_n.o,0.001740%,6,0,6,0,0,0
_printf_ls.o,0.001740%,6,0,6,0,0,0
_printf_llx.o,0.001740%,6,0,6,0,0,0
_printf_llu.o,0.001740%,6,0,6,0,0,0
_printf_llo.o,0.001740%,6,0,6,0,0,0
_printf_lli.o,0.001740%,6,0,6,0,0,0
_printf_lld.o,0.001740%,6,0,6,0,0,0
_printf_lc.o,0.001740%,6,0,6,0,0,0
_printf_i.o,0.001740%,6,0,6,0,0,0
_printf_g.o,0.001740%,6,0,6,0,0,0
_printf_f.o,0.001740%,6,0,6,0,0,0
_printf_e.o,0.001740%,6,0,6,0,0,0
_printf_d.o,0.001740%,6,0,6,0,0,0
_printf_c.o,0.001740%,6,0,6,0,0,0
_printf_a.o,0.001740%,6,0,6,0,0,0
__rtentry4.o,0.001740%,6,0,6,0,0,0
printf2.o,0.001160%,4,0,4,0,0,0
printf1.o,0.001160%,4,0,4,0,0,0
_printf_percent_end.o,0.001160%,4,0,4,0,0,0
stm32f4xx_hal_tim_ex.o,0.001160%,4,0,4,0,0,0
use_no_semi_2.o,0.000580%,2,0,2,0,0,0
use_no_semi.o,0.000580%,2,0,2,0,0,0
rtexit.o,0.000580%,2,0,2,0,0,0
libshutdown2.o,0.000580%,2,0,2,0,0,0
libshutdown.o,0.000580%,2,0,2,0,0,0
libinit.o,0.000580%,2,0,2,0,0,0
lv_draw.o,0.000580%,2,0,2,0,0,0
